"bfsnr","municipality"
"1","Aeugst am Albis"
"2","Affoltern am Albis"
"4","Hausen am Albis"
"5","Hedingen"
"8","Maschwanden"
"12","Rifferswil"
"14","Wettswil am Albis"
"29","Flurlingen"
"30","Andelfingen"
"32","Humlikon"
"33","Kleinandelfingen"
"38","Rheinau"
"53","Bülach"
"57","Freienstein-Teufen"
"58","Glattfelden"
"60","Höri"
"63","Lufingen"
"65","Oberembrach"
"67","Rafz"
"72","Winkel"
"81","Bachs"
"87","Hüttikon"
"91","Niederweningen"
"93","Oberweningen"
"95","Regensberg"
"97","Rümlang"
"98","Schleinikon"
"101","Steinmaur"
"114","Fischenthal"
"115","Gossau (ZH)"
"117","Hinwil"
"120","Wald (ZH)"
"135","Kilchberg (ZH)"
"137","Oberrieden"
"139","Rüschlikon"
"156","Meilen"
"176","Lindau"
"181","Wila"
"196","Mönchaltorf"
"214","Dägerlen"
"215","Dättlikon"
"218","Ellikon an der Thur"
"224","Pfungen"
"226","Schlatt (ZH)"
"227","Seuzach"
"228","Turbenthal"
"241","Aesch (ZH)"
"246","Oetwil an der Limmat"
"297","Bauma"
"302","Bargen (BE)"
"304","Kallnach"
"306","Lyss"
"310","Rapperswil (BE)"
"323","Bannwil"
"326","Gondiswil"
"329","Langenthal"
"331","Lotzwil"
"335","Oeschenbach"
"340","Rütschelen"
"344","Ursenbach"
"345","Wynau"
"356","Muri bei Bern"
"359","Vechigen"
"372","Evilard"
"382","Büetigen"
"385","Diessbach bei Büren"
"391","Oberwil bei Büren"
"401","Aefligen"
"402","Alchenstorf"
"406","Hasle bei Burgdorf"
"407","Heimiswil"
"409","Hindelbank"
"410","Höchstetten"
"411","Kernenried"
"412","Kirchberg (BE)"
"414","Krauchthal"
"418","Oberburg"
"421","Rumendingen"
"422","Rüti bei Lyssach"
"423","Willadingen"
"431","Corgémont"
"435","La Ferrière"
"441","Renan (BE)"
"442","Romont (BE)"
"497","Lüscherz"
"501","Tschugg"
"502","Vinelz"
"543","Mattstetten"
"552","Utzenstorf"
"561","Adelboden"
"565","Kandersteg"
"566","Krattigen"
"572","Bönigen"
"574","Brienzwiler"
"578","Gündlischwand"
"579","Habkern"
"582","Iseltwald"
"586","Lütschental"
"587","Matten bei Interlaken"
"589","Oberried am Brienzersee"
"602","Arni (BE)"
"607","Freimettigen"
"609","Häutligen"
"611","Kiesen"
"612","Konolfingen"
"616","Münsingen"
"617","Niederhünigen"
"627","Worb"
"665","Gurbrü"
"671","Wileroltigen"
"687","Corcelles (BE)"
"690","Court"
"692","Eschert"
"703","Reconvilier"
"704","Roches (BE)"
"707","Saules (BE)"
"708","Schelten"
"709","Seehof"
"715","Rebévelier"
"716","Petit-Val"
"734","Bühl"
"739","Ipsach"
"743","Nidau"
"744","Orpund"
"746","Safnern"
"747","Scheuren"
"748","Schwadernau"
"754","Walperswil"
"755","Worben"
"766","Oberwil im Simmental"
"768","Spiez"
"785","Meiringen"
"786","Schattenhalb"
"794","Zweisimmen"
"853","Rüschegg"
"866","Gerzensee"
"872","Kirchdorf (BE)"
"877","Niedermuhlern"
"888","Wald (BE)"
"905","Rüderswil"
"906","Schangnau"
"921","Amsoldingen"
"922","Blumenstein"
"925","Fahrni"
"927","Heiligenschwendi"
"928","Heimberg"
"929","Hilterfingen"
"931","Homberg"
"934","Oberhofen am Thunersee"
"935","Oberlangenegg"
"936","Pohlern"
"938","Sigriswil"
"939","Steffisburg"
"945","Unterlangenegg"
"947","Zwieselberg"
"952","Dürrenroth"
"957","Sumiswald"
"958","Trachselwald"
"960","Wyssachen"
"975","Farnern"
"982","Niederönz"
"987","Rumisberg"
"991","Walliswil bei Wangen"
"1002","Entlebuch"
"1008","Schüpfheim"
"1010","Escholzmatt-Marbach"
"1024","Emmen"
"1026","Eschenbach (LU)"
"1031","Hochdorf"
"1032","Hohenrain"
"1040","Rothenburg"
"1041","Schongau"
"1063","Meggen"
"1064","Meierskappel"
"1065","Root"
"1067","Udligenswil"
"1069","Weggis"
"1081","Beromünster"
"1082","Büron"
